EmployeeCode,AbsentDates,TotalPresent,TotalAbsent
PSI - 2790,0,19,12
PSI - 2796,0,0,31
PSI - 2797,0,9,22
PSI - 2799,0,11,20
PSI - 2800,0,21,10
PSI - 2802,0,20,11
PSI - 2804,0,21,10
PSI - 2806,0,1,30
PSI - 2808,0,8,23
PSI - 2809,0,17,14
PSI - 2811,0,11,20
PSI - 2813,0,18,13
PSI - 2816,0,21,10
PSI - 2818,0,23,8
PSI - 2819,0,14,17
PSI - 2820,0,14,17
PSI - 2821,0,19,12
PSI - 2822,0,18,13
PSI - 2823,0,4,27
PSI - 2825,0,4,27
PSI - 2826,0,21,10
PSI - 2827,0,17,14
PSI - 2828,0,18,13
PSI - 2832,0,11,20
PSI - 2833,0,17,14
PSI - 2834,0,18,13
PSI - 2836,0,0,31
PSI - 2837,0,17,14
PSI - 2839,0,23,8
PSI - 2840,0,19,12
PSI - 2843,0,18,13
PSI - 2844,0,19,12
PSI - 2853,0,13,18
PSI - 2855,0,0,31
PSI - 2857,0,0,31
PSI - 2858,0,0,31
PSI - 2861,0,0,31
PSI - 2862,0,0,31
PSI - 2863,0,0,31
PSI - 2865,0,0,31
PSI - 2866,0,0,31
PSI - 2867,0,0,31
PSI - 2869,0,0,31
PSI - 2870,0,0,31
PSI - 2871,0,0,31
PSI - 2874,0,0,31
PSI - 2875,0,0,31
PSI - 2877,0,0,31
PSI - 2878,0,0,31
PSI - 2882,0,0,31
PSI - 2884,0,0,31
PSI - 2885,0,0,31
PSI - 2886,0,0,31
PSI - 2887,0,0,31
PSI - 2888,0,0,31
PSI - 2889,0,0,31
PSI - 2890,0,0,31
PSI - 2891,0,0,31
PSI - 2892,0,0,31
PSI - 2893,0,0,31
PSI - 2894,0,0,31
PSI - 2896,0,0,31
PSI - 2898,0,0,31
PSI - 2900,0,0,31
PSI - 2901,0,0,31
PSI - 2902,0,0,31
PSI - 2903,0,3,28
PSI - 2907,0,0,31
PSI - 2908,0,0,31
PSI - 2912,0,18,13
PSI - 2913,0,19,12
PSI - 2914,0,19,12
PSI - 2915,0,20,11
PSI - 2916,0,0,31
PSI - 2921,0,0,31
PSI - 2922,0,0,31
PSI - 2923,0,16,15
PSI - 2924,0,16,15
PSI - 2926,0,0,31
PSI - 2927,0,1,30
PSI - 2929,0,6,25
PSI - 2930,0,10,21
PSI - 2933,0,18,13
PSI - 2934,0,16,15
PSI - 2935,0,12,19
PSI - 2938,0,0,31
PSI - 2939,0,4,27
PSI - 2941,0,19,7
PSI - 2945,0,9,22
PSI - 2946,0,18,13
PSI - 2949,0,8,23
PSI - 2951,0,15,16
PSI - 2952,0,0,31
PSI - 2953,0,19,12
PSI - 2954,0,15,16
PSI - 2955,0,5,26
PSI - 2956,0,0,31
PSI - 2957,0,19,12
PSI - 2959,0,16,15
PSI - 2961,0,16,15
PSI - 2962,0,0,26
PSI - 2964,0,20,11
PSI - 2966,0,20,11
PSI - 2967,0,18,13
PSI - 2968,0,21,10
PSI - 2969,0,19,12
PSI - 2973,0,16,15
PSI - 2974,0,15,16
PSI - 2977,0,18,13
PSI - 2978,0,16,15
PSI - 2979,0,9,22
PSI - 2980,0,15,16
PSI - 2981,0,1,30
PSI - 2982,0,6,25
PSI - 2985,0,18,13
PSI - 2986,0,20,11
PSI - 2987,0,21,10
PSI - 2989,0,21,10
PSI - 2990,0,11,20
PSI - 2991,0,21,10
PSI - 2992,0,19,12
PSI - 2994,0,20,11
PSI - 2995,0,18,13
PSI - 2998,0,18,13
PSI - 3001,0,0,31
PSI - 3002,0,21,10
PSI - 3003,0,18,13
PSI - 3004,0,19,12
PSI - 3005,0,19,12
PSI - 3006,0,17,14
PSI - 3007,0,0,31
PSI - 3008,0,21,10
PSI - 3010,0,14,17
PSI - 3011,0,21,10
PSI - 3012,0,17,14
PSI - 3013,0,19,12
PSI - 3014,0,18,13
PSI - 3016,0,17,14
PSI - 3019,0,0,31
PSI - 3020,0,21,10
PSI - 3021,0,20,11
PSI - 3022,0,21,10
PSI - 3023,0,4,27
PSI - 3024,0,0,31
PSI - 3025,0,19,12
PSI - 3028,0,15,16
PSI - 3029,0,18,13
PSI - 3030,0,21,10
PSI - 3032,0,17,14
PSI - 3033,0,6,25
PSI - 3034,0,20,11
PSI - 3036,0,7,24
PSI - 3037,0,20,11
PSI - 3038,0,20,11
PSI - 3040,0,18,13
PSI - 3041,0,17,14
PSI - 3042,0,18,13
PSI - 3044,0,10,21
PSI - 3046,0,9,22
PSI - 3047,0,17,14
PSI - 3048,0,14,17
PSI - 3051,0,21,10
PSI - 3053,0,0,31
PSI - 3058,0,18,13
PSI - 3059,0,6,25
PSI - 3061,0,14,17
PSI - 3063,0,19,12
PSI - 3064,0,13,18
PSI - 3065,0,5,26
PSI - 3066,0,17,14
PSI - 3068,0,20,11
PSI - 3069,0,5,26
PSI - 3070,0,17,14
PSI - 3071,0,18,13
PSI - 3072,0,20,11
PSI - 3073,0,21,10
PSI - 3074,0,6,25
PSI - 3075,0,19,12
PSI - 3078,0,14,17
PSI - 3079,0,0,31
PSI - 3080,0,21,10
PSI - 3082,0,20,11
PSI - 3083,0,20,11
PSI - 3087,0,0,31
PSI - 3089,0,16,15
PSI - 3090,0,18,13
